timestamp, frame, x, y, z, qx, qy, qz, qw
805732.106368416, 001740, 21.38555, -0.047516894, -4.2591047, -0.1563435, 0.06621552, -0.98548067, -7.304055e-05
805732.123044125, 001741, 21.392721, -0.047208183, -4.247058, -0.15605402, 0.06665518, -0.98549646, -0.0009217405
805732.139719625, 001742, 21.399837, -0.047146592, -4.234971, -0.15595725, 0.06682694, -0.9854991, -0.0017539513
805732.156395333, 001743, 21.409315, -0.048203863, -4.223111, -0.15572141, 0.06677996, -0.98553705, -0.0028298479
805732.173070708, 001744, 21.417397, -0.049093135, -4.21092, -0.1549351, 0.06670354, -0.98566145, -0.004137545
805732.189746291, 001745, 21.42489, -0.05008343, -4.1984673, -0.15371267, 0.06678756, -0.98583966, -0.0056542987
805732.206421791, 001746, 21.432312, -0.05130942, -4.185838, -0.15227212, 0.06702133, -0.98603696, -0.0072417427
805732.223097583, 001747, 21.440107, -0.05273244, -4.1726556, -0.15092304, 0.06745325, -0.9862024, -0.008781178
805732.239772958, 001748, 21.447895, -0.054286856, -4.1594963, -0.14976281, 0.06781549, -0.9863423, -0.010048529
805732.273124041, 001749, 21.463316, -0.05760769, -4.1332593, -0.14783038, 0.06796495, -0.9866082, -0.011448629
805732.289799666, 001750, 21.471146, -0.05930763, -4.120038, -0.14708154, 0.06777686, -0.98673177, -0.011562967
805732.306475208, 001751, 21.47907, -0.060978066, -4.1067066, -0.1465205, 0.06735391, -0.9868472, -0.011303695
805732.323150791, 001752, 21.487108, -0.062601306, -4.093205, -0.14609702, 0.06680049, -0.9869536, -0.01076657
805732.339826125, 001753, 21.494566, -0.06357887, -4.079302, -0.14577056, 0.06604532, -0.9870603, -0.010042116
805732.356501875, 001754, 21.502682, -0.06487442, -4.065342, -0.14546691, 0.065266445, -0.9871652, -0.009194144
805732.373177333, 001755, 21.51106, -0.06620062, -4.0512805, -0.14505845, 0.06478531, -0.987264, -0.0084048705
805732.389852958, 001756, 21.519548, -0.067447826, -4.0371156, -0.14438751, 0.064305305, -0.987399, -0.007762585
805732.406528416, 001757, 21.528103, -0.06856851, -4.022833, -0.14338277, 0.063846596, -0.9875776, -0.007442987
805732.423204041, 001758, 21.534966, -0.06969685, -4.009307, -0.14231445, 0.063587375, -0.98774827, -0.007519357
805732.439879458, 001759, 21.54243, -0.070569515, -3.9954991, -0.14124304, 0.063393705, -0.987912, -0.007840036
805732.45655525, 001760, 21.550678, -0.07099652, -3.9812944, -0.14007592, 0.06340739, -0.988074, -0.008241889
805732.473230541, 001761, 21.559164, -0.07098689, -3.9668133, -0.13828509, 0.063746534, -0.9883013, -0.008608898
805732.489906291, 001762, 21.567654, -0.07053875, -3.9520884, -0.13579889, 0.06439654, -0.9886009, -0.008942297
805732.506581541, 001763, 21.575975, -0.06968947, -3.9372633, -0.1331202, 0.0655123, -0.98889065, -0.0090774065
805732.52325725, 001764, 21.583998, -0.068549186, -3.9225183, -0.13057375, 0.066895016, -0.98914033, -0.008771705
805732.53993275, 001765, 21.591703, -0.06718112, -3.9079309, -0.12837455, 0.06814051, -0.9893486, -0.008134085
805732.5566085, 001766, 21.5972, -0.06512628, -3.8951342, -0.1267034, 0.0691798, -0.9894979, -0.0073692584
805732.573283875, 001767, 21.603802, -0.063376755, -3.8813474, -0.12521376, 0.07016785, -0.98962414, -0.006477545
805732.589959541, 001768, 21.610682, -0.061741166, -3.8672173, -0.12338594, 0.0710121, -0.989799, -0.005571865
805732.606634833, 001769, 21.61757, -0.06019031, -3.8529477, -0.120836385, 0.07166879, -0.9900711, -0.004620819
805732.623310625, 001770, 21.624372, -0.05869378, -3.838631, -0.117704436, 0.07235303, -0.99040246, -0.0036845542
805732.639985916, 001771, 21.631046, -0.057275712, -3.8243582, -0.114391126, 0.07283986, -0.9907576, -0.002898276
805732.656661666, 001772, 21.636906, -0.055709723, -3.8100162, -0.11125635, 0.073171474, -0.99109143, -0.0023833176
805732.673337041, 001773, 21.643028, -0.054538723, -3.795876, -0.10835449, 0.07354195, -0.99138576, -0.0022701956
805732.690012833, 001774, 21.649124, -0.053684156, -3.7818506, -0.10570027, 0.07397527, -0.9916392, -0.0025936018
805732.706688208, 001775, 21.655132, -0.05313674, -3.7678542, -0.10323157, 0.07431432, -0.99187213, -0.0031992453
805732.723363791, 001776, 21.661106, -0.05288203, -3.7537484, -0.10079915, 0.07459511, -0.992099, -0.003820922
805732.740039333, 001777, 21.667076, -0.0529172, -3.7394152, -0.09826337, 0.07487544, -0.99233073, -0.0042081876
805732.756714916, 001778, 21.673534, -0.052860245, -3.7251103, -0.09579048, 0.07525585, -0.99254316, -0.0043290183
805732.773390333, 001779, 21.67968, -0.0533591, -3.7104049, -0.09336056, 0.07539205, -0.99276525, -0.0041234456
805732.790065958, 001780, 21.685658, -0.054208156, -3.6954722, -0.091132894, 0.07525695, -0.9929838, -0.003790751
805732.8067415, 001781, 21.691532, -0.055327263, -3.6803854, -0.08919115, 0.07497469, -0.9931828, -0.003415105
805732.823417166, 001782, 21.697294, -0.05666086, -3.6651735, -0.08760783, 0.07461935, -0.99335176, -0.0030074394
805732.840092541, 001783, 21.70296, -0.05816975, -3.6498404, -0.08641698, 0.07416971, -0.99349093, -0.0025941194
805732.85676825, 001784, 21.71103, -0.06010709, -3.6352139, -0.08545362, 0.0737094, -0.99360925, -0.0022907984
805732.873443625, 001785, 21.717371, -0.061933782, -3.619786, -0.0847288, 0.07337379, -0.9936969, -0.0019391157
805732.89011925, 001786, 21.723091, -0.06374782, -3.6038868, -0.08397005, 0.073035516, -0.99378693, -0.001531629
805732.906794666, 001787, 21.72854, -0.06557228, -3.5876398, -0.0831334, 0.072635226, -0.9938872, -0.0010924559
805732.923470416, 001788, 21.733831, -0.0673856, -3.5711422, -0.08240591, 0.072268695, -0.9939748, -0.00067514164
805732.940145791, 001789, 21.738937, -0.06929202, -3.555007, -0.08220584, 0.07199357, -0.9940116, -0.00024983045
805732.956821375, 001790, 21.743887, -0.07115811, -3.539196, -0.082791045, 0.071392514, -0.99400634, 0.00030401468
805732.973496791, 001791, 21.748766, -0.07263973, -3.5228252, -0.08379902, 0.07059504, -0.99397844, 0.0008970121
805732.990172583, 001792, 21.753542, -0.07386809, -3.5061593, -0.08463573, 0.06994348, -0.99395305, 0.0014157414
